x y phi
0.12 0.2 31.113168608679324
0.12 0.22 34.080333140014545
0.12 0.24 36.913022365774545
0.12 0.26 39.60003899280941
0.12 0.28 42.13077391745801
0.12 0.3 44.49523830490499
0.12 0.32 46.684100404861
0.12 0.34 48.68872170937538
0.12 0.36 50.50119087781591
0.12 0.38 52.11435491871949
0.12 0.4 53.52184740977433
0.12 0.42 54.71811362095871
0.12 0.44 55.69843243601994
0.12 0.46 56.45893498445167
0.12 0.48 56.99661991013409
0.12 0.5 57.309365216310056
0.12 0.52 57.395936640135744
0.12 0.54 57.255992523752006
0.12 0.56 56.89008516265186
0.12 0.58 56.299658626022364
0.12 0.6 55.48704305766338
0.12 0.62 54.455445479974465
0.12 0.64 53.20893713730266
0.12 0.66 51.75243742860101
0.12 0.68 50.091694492808344
0.12 0.7000000000000001 48.23326252357095
0.12 0.72 46.18447590283459
0.12 0.74 43.953420255389766
0.12 0.76 41.54890053860455
0.12 0.78 38.98040629328053
0.12 0.8 36.2580741927706
0.12 0.8200000000000001 33.39264803816024
0.12 0.84 30.395436357393017
0.12 0.86 27.278267775677143
0.12 0.88 24.05344433330578
0.12 0.9 20.733692935124285
0.12 0.92 17.332086869632995
0.12 0.9400000000000001 13.86069110241075
0.12 0.96 10.305713266396271
0.12 0.98 6.375378853094444
0.12 1.0 4.50822555132842E-17
0.13 0.0 0.0
0.13 0.02 2.0894112098055
0.13 0.04 5.140675119741854
0.13 0.06 8.73039506876868
0.13 0.08 12.55085240259707
0.13 0.1 16.431787235896074
0.13 0.12 20.289140183363717
0.13 0.14 24.08072273659914
0.13 0.16 27.781915365810278
0.13 0.18 31.374894516759
0.13 0.2 34.84447072923814
0.13 0.22 38.17664988334209
0.13 0.24 41.35819532847725
0.13 0.26 44.37652730426619
0.13 0.28 47.219727551809754
0.13 0.3 49.876573641470145
0.13 0.32 52.33657981074977
0.13 0.34 54.590037440433896
0.13 0.36 56.62805313924679
0.13 0.38 58.4425837848258
0.13 0.4 60.026468252441816
0.13 0.42 61.37345567342885
0.13 0.44 62.478230103754626
0.13 0.46 63.33643150345269
0.13 0.48 63.944672943670525
0.13 0.5 64.3005539733221
0.13 0.52 64.4026700925698
0.13 0.54 64.25061829574337
0.13 0.56 63.844998661819005
0.13 0.58 63.187411986181814
0.13 0.6 62.28045346301779
0.13 0.62 61.12770244326789
0.13 0.64 59.73370830856525
0.13 0.66 58.10397251690418
0.13 0.68 56.244926890898924
0.13 0.7000000000000001 54.16390823431816
0.13 0.72 51.86912937707241
0.13 0.74 49.36964676292651
0.13 0.76 46.67532470785349
0.13 0.78 43.79679647008607
0.13 0.8 40.74542228550424
0.13 0.8200000000000001 37.53324453397431
0.13 0.84 34.17294021357714
0.13 0.86 30.677770910288316
0.13 0.88 27.061530460556938
0.13 0.9 23.338490513335003
0.13 0.92 19.523311337775304
0.13 0.9400000000000001 15.629478714738235
0.13 0.96 11.640754090350995
0.13 0.98 7.222309313689851
0.13 1.0 4.8636589305400717E-17
0.14 0.0 0.0
0.14 0.02 2.292892475334112
0.14 0.04 5.6546292144404635
0.14 0.06 9.62120114351464
0.14 0.08 13.85090147418008
0.14 0.1 18.15244145831738
0.14 0.12 22.430455926091273
0.14 0.14 26.63687081575619
0.14 0.16 30.743746234661792
0.14 0.18 34.73103625052807
0.14 0.2 38.58178002746223
0.14 0.22 42.28040857977495
0.14 0.24 45.812216992235776
0.14 0.26 49.16323657183551
0.14 0.28 52.3202341906605
0.14 0.3 55.270748474732386
0.14 0.32 58.00313454467499
0.14 0.34 60.50660878490917
0.14 0.36 62.77129109331097
0.14 0.38 64.7882437956025
0.14 0.4 66.5495068991017
0.14 0.42 68.04812950256738
0.14 0.44 69.2781972271459
0.14 0.46 70.23485555747222
0.14 0.48 70.91432900016773
0.14 0.5 71.31393598397503
0.14 0.52 71.43209944269191
0.14 0.54 71.26835303913052
0.14 0.56 70.82334300553708
0.14 0.58 70.09882559320845
0.14 0.6 69.09766014137055
0.14 0.62 67.82379779267282
0.14 0.64 66.2822658998332
0.14 0.66 64.47914818497382
0.14 0.68 62.4215607299491
0.14 0.7000000000000001 60.11762389242171
0.14 0.72 57.57643025852077
0.14 0.74 54.80800875855835
0.14 0.76 51.8232850874233
0.14 0.78 48.63403858585508
0.14 0.8 45.25285575276723
0.14 0.8200000000000001 41.69308057208645
0.14 0.84 37.96876185014432
0.14 0.86 34.094597771456954
0.14 0.88 30.085877891705714
0.14 0.9 25.95842279684608
0.14 0.92 21.728484097413123
0.14 0.9400000000000001 17.41096958625114
0.14 0.96 12.987135034092475
0.14 0.98 8.078366465050639
0.14 1.0 5.214292465583939E-17
0.15 0.0 0.0
0.15 0.02 2.4947163942555752
0.15 0.04 6.164991885152291
0.15 0.06 10.506713152225608
0.15 0.08 15.144366817069436
0.15 0.1 19.865590347143907
0.15 0.12 24.563597995350747
0.15 0.14 29.18433134539288
0.15 0.16 33.69646857418648
0.15 0.18 38.0777097929744
0.15 0.2 42.30930893312144
0.15 0.22 46.374117020529006
0.15 0.24 50.255959503351896
0.15 0.26 53.93947878662795
0.15 0.28 57.41012732040739
0.15 0.3 60.65420526994224
0.15 0.32 63.65890902259464
0.15 0.34 66.41238020347086
0.15 0.36 68.90375207482099
0.15 0.38 71.12319231920664
0.15 0.4 73.0619418173771
0.15 0.42 74.71234921019607
0.15 0.44 76.06790109354716
0.15 0.46 77.12324772340897
0.15 0.48 77.87422412876872
0.15 0.5 78.31786654884142
0.15 0.52 78.45242412967575
0.15 0.54 78.27736583397352
0.15 0.56 77.79338253685137
0.15 0.58 77.0023842992721
0.15 0.6 75.90749282990669
0.15 0.62 74.51302916517642
0.15 0.64 72.82449661609611
0.15 0.66 70.84855904921986
0.15 0.68 68.5930145874041
0.15 0.7000000000000001 66.0667648341794
0.15 0.72 63.27977974318798
0.15 0.74 60.243058271331634
0.15 0.76 56.968584970913675
0.15 0.78 53.46928269208633
0.15 0.8 49.75896158226496
0.15 0.8200000000000001 45.85226458378557
0.15 0.84 41.76460964490108
0.15 0.86 37.512128872183354
0.15 0.88 33.11160486446863
0.15 0.9 28.580404479607182
0.15 0.92 23.93636797851744
0.15 0.9400000000000001 19.195820684553162
0.15 0.96 14.337475674172117
0.15 0.98 8.93851629195603
0.15 1.0 5.559780123493432E-17
0.16 0.0 0.0
0.16 0.02 2.694460695271778
0.16 0.04 6.670553338841421
0.16 0.06 11.384614546441604
0.16 0.08 16.42760650106068
0.16 0.1 21.56614750817397
0.16 0.12 26.681988488918822
0.16 0.14 31.715031320077365
0.16 0.16 36.63053459362877
0.16 0.18 41.403926225593736
0.16 0.2 46.01466951888926
0.16 0.22 50.444036818569
0.16 0.24 54.674388156650025
0.16 0.26 58.688982248013
0.16 0.28 62.47196246209043
0.16 0.3 66.00839561645488
0.16 0.32 69.28432410499265
0.16 0.34 72.28681909794561
0.16 0.36 75.00403105983662
0.16 0.38 77.42523638181629
0.16 0.4 79.54087966910362
0.16 0.42 81.34261144335784
0.16 0.44 82.82332109220607
0.16 0.46 83.97716493109218
0.16 0.48 84.79958926551535
0.16 0.5 85.28734836235532
0.16 0.52 85.43851725929237
0.16 0.54 85.25249936175268
0.16 0.56 84.73002879739428
0.16 0.58 83.87316751884065
0.16 0.6 82.68529716609551
0.16 0.62 81.17110572075481
0.16 0.64 79.33656900468506
0.16 0.66 77.18892709618449
0.16 0.68 74.73665575670167
0.16 0.7000000000000001 71.98943298087734
0.16 0.72 68.95810080192099
0.16 0.74 65.65462250305902
0.16 0.76 62.09203540392133
0.16 0.78 58.28439940819703
0.16 0.8 54.2467415156178
0.16 0.8200000000000001 49.99499651725523
0.16 0.84 45.545944108180336
0.16 0.86 40.91714266567304
0.16 0.88 36.12685995432868
0.16 0.9 31.194001031536928
0.16 0.92 26.137986555421843
