x y phi
0.02 0.06 0.08405133830760196
0.02 0.09 0.12992959056052442
0.02 0.12 0.17586035405155198
0.02 0.15 0.22164217312402845
0.02 0.18 0.2672082584535536
0.02 0.21 0.3125109780464287
0.02 0.24 0.35750532239198923
0.02 0.27 0.40214685566914554
0.02 0.3 0.44639151888737316
0.02 0.32999999999999996 0.4901956476008087
0.02 0.36 0.5335160123948444
0.02 0.39 0.5763098612970525
0.02 0.42 0.6185349619449136
0.02 0.44999999999999996 0.6601496432619675
0.02 0.48 0.7011128365819542
0.02 0.51 0.7413841161786132
0.02 0.54 0.7809237391609931
0.02 0.57 0.8196926846948865
0.02 0.6 0.8576526925116831
0.02 0.63 0.8947663006666351
0.02 0.6599999999999999 0.9309968825092739
0.02 0.69 0.966308682829492
0.02 0.72 1.0006668531436183
0.02 0.75 1.0340374860856651
0.02 0.78 1.0663876488698039
0.02 0.8099999999999999 1.0976854157910492
0.02 0.84 1.1278998997320753
0.02 0.87 1.157001282645071
0.02 0.8999999999999999 1.1849608449785534
0.02 0.9299999999999999 1.2117509940200986
0.02 0.96 1.2373452911270166
0.02 0.99 1.2617184778180994
0.02 1.02 1.2848465007006937
0.02 1.05 1.3067065352084943
0.02 1.08 1.3272770081266358
0.02 1.1099999999999999 1.3465376188818516
0.02 1.14 1.3644693595766881
0.02 1.17 1.3810545337480042
0.02 1.2 1.3962767738312458
0.02 1.23 1.4101210573132539
0.02 1.26 1.4225737215576721
0.02 1.29 1.4336224772883197
0.02 1.3199999999999998 1.4432564207172223
0.02 1.3499999999999999 1.451466044305337
0.02 1.38 1.4582423702068172
0.02 1.41 1.4634589654555896
0.02 1.44 1.4613364482677433
0.02 1.47 1.3303553064134093
0.02 1.5 0.06279051952931337
0.03 0.0 0.0
0.03 0.03 0.06970200006674769
0.03 0.06 0.15015595973163676
0.03 0.09 0.23277352346578495
0.03 0.12 0.3155499978210322
0.03 0.15 0.39807087611539504
0.03 0.18 0.4802060661576985
0.03 0.21 0.561868193718606
0.03 0.24 0.6429759179437127
0.03 0.27 0.7234491122198659
0.03 0.3 0.803208350525286
0.03 0.32999999999999996 0.8821749192530542
0.03 0.36 0.9602708878502765
0.03 0.39 1.0374191850168617
0.03 0.42 1.1135436746970386
0.03 0.44999999999999996 1.1885692312100522
0.03 0.48 1.262421813389564
0.03 0.51 1.3350285376532933
0.03 0.54 1.4063177499303072
0.03 0.57 1.476219096374939
0.03 0.6 1.5446635927975405
0.03 0.63 1.6115836927435465
0.03 0.6599999999999999 1.6769133541536718
0.03 0.69 1.7405881045394502
0.03 0.72 1.802545104609797
0.03 0.75 1.8627232102858016
0.03 0.78 1.9210630330425522
0.03 0.8099999999999999 1.9775069985184401
0.03 0.84 2.0319994033341047
0.03 0.87 2.084486470064939
